Town_County,Town,Town_Type,County,Year,Total_Rev,Total_Expenses,All_Tax_Rev,Real_Estat,Fed_Money,State_Money,MtoM,Population,Per_C_Tax,Per_C_Rev,Per_C_Ex
topton boro berks,topton boro,Borough,berks,2011,1998035.0,1975870.0,720251.0,432565.0,149141.0,73078.0,0.0,2069,348.12,965.7,954.99
topton boro berks,topton boro,Borough,berks,2012,1975348.0,1823709.0,751645.0,486096.0,0.0,139453.0,0.0,2069,363.29,954.74,881.44
topton boro berks,topton boro,Borough,berks,2013,3728027.0,3410911.0,734499.0,450450.0,0.0,86530.0,14461.0,2069,355.0,1801.85,1648.58
topton boro berks,topton boro,Borough,berks,2014,2174186.0,1984516.0,790746.0,460243.0,0.0,78434.0,0.0,2069,382.19,1050.84,959.17
topton boro berks,topton boro,Borough,berks,2015,1961872.0,2001025.0,756728.0,459022.0,0.0,80146.0,0.0,2069,365.75,948.22,967.15
topton boro berks,topton boro,Borough,berks,2016,2026138.0,1926553.0,791453.0,449311.0,0.0,86083.0,0.0,2069,382.53,979.28,931.15
topton boro berks,topton boro,Borough,berks,2017,3467521.0,3860642.0,826267.0,473825.0,0.0,178264.0,0.0,2069,399.36,1675.94,1865.95
upper bern twp berks,upper bern twp,Second Class Township,berks,2010,898153.0,949477.0,321294.0,106121.0,0.0,178221.0,800.0,1734,185.29,517.97,547.56
upper bern twp berks,upper bern twp,Second Class Township,berks,2011,874640.0,970176.0,380470.0,165403.0,0.0,108724.0,1366.0,1734,219.42,504.41,559.5
upper bern twp berks,upper bern twp,Second Class Township,berks,2012,995063.0,917511.0,384052.0,166856.0,0.0,105049.0,0.0,1734,221.48,573.85,529.13
upper bern twp berks,upper bern twp,Second Class Township,berks,2013,1017427.0,1029739.0,408779.0,166260.0,0.0,23549.0,0.0,1734,235.74,586.75,593.85
upper bern twp berks,upper bern twp,Second Class Township,berks,2014,1098106.0,994295.0,431201.0,167506.0,0.0,193749.0,0.0,1734,248.67,633.28,573.41
upper bern twp berks,upper bern twp,Second Class Township,berks,2015,965687.0,1100814.0,403295.0,174343.0,0.0,118222.0,0.0,1734,232.58,556.91,634.84
upper bern twp berks,upper bern twp,Second Class Township,berks,2016,1029663.0,926681.0,460890.0,177562.0,0.0,136251.0,0.0,1734,265.8,593.81,534.42
upper bern twp berks,upper bern twp,Second Class Township,berks,2017,1871596.0,1118787.0,490594.0,179956.0,0.0,581779.0,800.0,1734,282.93,1079.35,645.21
ontelaunee twp berks,ontelaunee twp,Second Class Township,berks,2010,1833989.0,2020895.0,1222320.0,797665.0,0.0,153997.0,0.0,1646,742.6,1114.21,1227.76
ontelaunee twp berks,ontelaunee twp,Second Class Township,berks,2011,1757428.0,1612961.0,1208135.0,833060.0,0.0,138881.0,0.0,1646,733.98,1067.7,979.93
ontelaunee twp berks,ontelaunee twp,Second Class Township,berks,2012,2129005.0,2238175.0,1246242.0,788371.0,0.0,122689.0,0.0,1646,757.13,1293.44,1359.77
ontelaunee twp berks,ontelaunee twp,Second Class Township,berks,2013,2350233.0,2305940.0,1334886.0,805244.0,0.0,145226.0,0.0,1646,810.99,1427.85,1400.94
ontelaunee twp berks,ontelaunee twp,Second Class Township,berks,2014,2508517.0,2159488.0,1479259.0,861378.0,0.0,155195.0,0.0,1646,898.7,1524.01,1311.96
ontelaunee twp berks,ontelaunee twp,Second Class Township,berks,2015,2015098.0,1745460.0,1486461.0,865099.0,0.0,165991.0,0.0,1646,903.07,1224.24,1060.43
ontelaunee twp berks,ontelaunee twp,Second Class Township,berks,2016,2140930.0,1744109.0,1599134.0,956695.0,0.0,185573.0,0.0,1646,971.53,1300.69,1059.6
ontelaunee twp berks,ontelaunee twp,Second Class Township,berks,2017,5115952.0,4860302.0,1656738.0,955628.0,0.0,148241.0,0.0,1646,1006.52,3108.11,2952.8
albany twp berks,albany twp,Second Class Township,berks,2010,605564.0,601099.0,267958.0,54580.0,0.0,203445.0,6142.0,1724,155.43,351.26,348.67
albany twp berks,albany twp,Second Class Township,berks,2011,530374.0,586458.0,275320.0,52864.0,0.0,223506.0,8270.0,1724,159.7,307.64,340.17
albany twp berks,albany twp,Second Class Township,berks,2012,533333.0,492219.0,271542.0,53554.0,0.0,230518.0,0.0,1724,157.51,309.36,285.51
albany twp berks,albany twp,Second Class Township,berks,2013,562277.0,535616.0,308737.0,54555.0,0.0,211216.0,7413.0,1724,179.08,326.15,310.68
albany twp berks,albany twp,Second Class Township,berks,2014,566534.0,585276.0,317010.0,53867.0,0.0,217064.0,5912.0,1724,183.88,328.62,339.49
albany twp berks,albany twp,Second Class Township,berks,2015,577601.0,586850.0,285626.0,53277.0,0.0,233202.0,21699.0,1724,165.68,335.04,340.4
albany twp berks,albany twp,Second Class Township,berks,2016,660151.0,462427.0,305767.0,55103.0,0.0,268857.0,19814.0,1724,177.36,382.92,268.23
albany twp berks,albany twp,Second Class Township,berks,2017,648440.0,587396.0,316821.0,54921.0,0.0,266812.0,0.0,1724,183.77,376.13,340.72
alsace twp berks,alsace twp,Second Class Township,berks,2010,1241211.0,1159969.0,618144.0,177717.0,0.0,151739.0,0.0,3751,164.79,330.9,309.24
alsace twp berks,alsace twp,Second Class Township,berks,2011,1342015.0,1314080.0,641221.0,177383.0,0.0,170205.0,0.0,3751,170.95,357.78,350.33
alsace twp berks,alsace twp,Second Class Township,berks,2012,1138434.0,1093520.0,597292.0,178442.0,0.0,155527.0,0.0,3751,159.24,303.5,291.53
alsace twp berks,alsace twp,Second Class Township,berks,2013,1192931.0,1190974.0,641293.0,177350.0,0.0,155315.0,0.0,3751,170.97,318.03,317.51
alsace twp berks,alsace twp,Second Class Township,berks,2014,1315983.0,1163461.0,689518.0,179550.0,0.0,158413.0,0.0,3751,183.82,350.84,310.17
alsace twp berks,alsace twp,Second Class Township,berks,2015,1305738.0,1290182.0,652650.0,175779.0,0.0,171105.0,0.0,3751,173.99,348.1,343.96
alsace twp berks,alsace twp,Second Class Township,berks,2016,1628527.0,1748396.0,767426.0,264366.0,0.0,195386.0,0.0,3751,204.59,434.16,466.11
alsace twp berks,alsace twp,Second Class Township,berks,2017,1545418.0,1401586.0,793478.0,270053.0,0.0,199130.0,0.0,3751,211.54,412.0,373.66
bally boro berks,bally boro,Borough,berks,2010,1154451.0,1158013.0,378499.0,222816.0,0.0,53698.0,0.0,1090,347.25,1059.13,1062.4
