Town_County,Town,Town_Type,County,Year,Total_Rev,Total_Expenses,All_Tax_Rev,Real_Estat,Fed_Money,State_Money,MtoM,Population,Per_C_Tax,Per_C_Rev,Per_C_Ex
ben avon boro allegheny,ben avon boro,Borough,allegheny,2010,1417969.0,1600258.0,866687.0,554106.0,7989.0,59413.0,9226.0,1781,486.63,796.16,898.52
ben avon boro allegheny,ben avon boro,Borough,allegheny,2011,1198315.0,948878.0,901318.0,563303.0,0.0,70617.0,0.0,1781,506.07,672.83,532.78
ben avon boro allegheny,ben avon boro,Borough,allegheny,2012,1463233.0,1356280.0,942653.0,564610.0,0.0,77459.0,0.0,1781,529.28,821.58,761.53
ben avon boro allegheny,ben avon boro,Borough,allegheny,2013,1213364.0,1112989.0,952733.0,560438.0,0.0,69769.0,0.0,1781,534.94,681.28,624.92
ben avon boro allegheny,ben avon boro,Borough,allegheny,2014,1544523.0,1322564.0,972456.0,560580.0,0.0,61212.0,0.0,1781,546.02,867.22,742.6
ben avon boro allegheny,ben avon boro,Borough,allegheny,2015,1503233.0,1909799.0,974971.0,551450.0,0.0,65783.0,9000.0,1781,547.43,844.04,1072.32
ben avon boro allegheny,ben avon boro,Borough,allegheny,2016,1766930.0,1824318.0,1001096.0,548407.0,0.0,74192.0,0.0,1781,562.1,992.1,1024.32
ben avon boro allegheny,ben avon boro,Borough,allegheny,2017,1514428.0,1382331.0,1026556.0,553684.0,0.0,76057.0,0.0,1781,576.39,850.32,776.15
chalfant boro allegheny,chalfant boro,Borough,allegheny,2010,495675.0,518084.0,260452.0,174992.0,0.0,23843.0,0.0,800,325.56,619.59,647.61
chalfant boro allegheny,chalfant boro,Borough,allegheny,2011,569509.0,568950.0,243691.0,155491.0,0.0,39099.0,0.0,800,304.61,711.89,711.19
chalfant boro allegheny,chalfant boro,Borough,allegheny,2012,585125.0,525908.0,269207.0,151654.0,0.0,23144.0,0.0,800,336.51,731.41,657.38
chalfant boro allegheny,chalfant boro,Borough,allegheny,2013,722160.0,704952.0,291570.0,171010.0,0.0,22990.0,0.0,800,364.46,902.7,881.19
chalfant boro allegheny,chalfant boro,Borough,allegheny,2014,623830.0,562508.0,280777.0,160503.0,0.0,24274.0,0.0,800,350.97,779.79,703.13
chalfant boro allegheny,chalfant boro,Borough,allegheny,2015,733573.0,734381.0,289840.0,171870.0,0.0,26404.0,0.0,800,362.3,916.97,917.98
chalfant boro allegheny,chalfant boro,Borough,allegheny,2016,752974.0,752756.0,303243.0,182582.0,0.0,80053.0,0.0,800,379.05,941.22,940.95
chalfant boro allegheny,chalfant boro,Borough,allegheny,2017,732687.0,659320.0,323743.0,205902.0,0.0,30881.0,0.0,800,404.68,915.86,824.15
collier twp allegheny,collier twp,First Class Township,allegheny,2010,6009405.0,6058692.0,4794419.0,2403637.0,0.0,446933.0,16345.0,7080,677.18,848.79,855.75
collier twp allegheny,collier twp,First Class Township,allegheny,2011,6272815.0,6564091.0,5090735.0,2456289.0,0.0,515294.0,0.0,7080,719.03,885.99,927.13
collier twp allegheny,collier twp,First Class Township,allegheny,2012,18030022.0,17051746.0,5841495.0,2545819.0,0.0,642694.0,0.0,7080,825.07,2546.61,2408.44
collier twp allegheny,collier twp,First Class Township,allegheny,2013,8543783.0,11931178.0,6015088.0,2533757.0,0.0,408939.0,0.0,7080,849.59,1206.75,1685.19
collier twp allegheny,collier twp,First Class Township,allegheny,2014,14495269.0,14514608.0,5942515.0,2517245.0,0.0,671061.0,0.0,7080,839.34,2047.35,2050.09
collier twp allegheny,collier twp,First Class Township,allegheny,2015,8719206.0,8680845.0,6318431.0,2610977.0,0.0,482755.0,0.0,7080,892.43,1231.53,1226.11
collier twp allegheny,collier twp,First Class Township,allegheny,2016,12879019.0,13401594.0,5871171.0,2685435.0,0.0,752576.0,0.0,7080,829.26,1819.07,1892.88
collier twp allegheny,collier twp,First Class Township,allegheny,2017,9395017.0,8512649.0,6966630.0,3175281.0,0.0,757269.0,0.0,7080,983.99,1326.98,1202.35
elizabeth twp allegheny,elizabeth twp,First Class Township,allegheny,2010,5874332.0,5851416.0,3866243.0,2340628.0,113236.0,724529.0,0.0,13271,291.33,442.64,440.92
elizabeth twp allegheny,elizabeth twp,First Class Township,allegheny,2011,9327501.0,7898944.0,3974913.0,2360819.0,0.0,647615.0,0.0,13271,299.52,702.85,595.2
elizabeth twp allegheny,elizabeth twp,First Class Township,allegheny,2012,6169967.0,4505864.0,4452665.0,2394119.0,0.0,559351.0,0.0,13271,335.52,464.92,339.53
elizabeth twp allegheny,elizabeth twp,First Class Township,allegheny,2013,7239457.0,7556786.0,4505226.0,2496004.0,0.0,511222.0,524073.0,13271,339.48,545.51,569.42
elizabeth twp allegheny,elizabeth twp,First Class Township,allegheny,2014,6699168.0,6730896.0,4444139.0,2423618.0,59437.0,609574.0,0.0,13271,334.88,504.8,507.19
elizabeth twp allegheny,elizabeth twp,First Class Township,allegheny,2015,11932835.0,12557115.0,4492972.0,2475118.0,0.0,629646.0,469844.0,13271,338.56,899.17,946.21
elizabeth twp allegheny,elizabeth twp,First Class Township,allegheny,2016,10913785.0,10691986.0,4488021.0,2453706.0,0.0,694468.0,28940.0,13271,338.18,822.38,805.67
elizabeth twp allegheny,elizabeth twp,First Class Township,allegheny,2017,13048069.0,11905388.0,4644156.0,2470989.0,0.0,853700.0,2087.0,13271,349.95,983.2,897.1
findlay twp allegheny,findlay twp,Second Class Township,allegheny,2010,12007028.0,12002290.0,5060404.0,927205.0,0.0,619383.0,0.0,5060,1000.08,2372.93,2371.99
findlay twp allegheny,findlay twp,Second Class Township,allegheny,2011,10396392.0,9558698.0,6143723.0,979940.0,0.0,785089.0,0.0,5060,1214.17,2054.62,1889.07
findlay twp allegheny,findlay twp,Second Class Township,allegheny,2012,12142950.0,10492946.0,7535390.0,895328.0,0.0,505822.0,61832.0,5060,1489.21,2399.79,2073.7
findlay twp allegheny,findlay twp,Second Class Township,allegheny,2013,12020165.0,10672001.0,7689083.0,1092926.0,1323.0,539870.0,61832.0,5060,1519.58,2375.53,2109.09
findlay twp allegheny,findlay twp,Second Class Township,allegheny,2014,13438979.0,13758976.0,7277116.0,1137452.0,3860.0,555669.0,36068.0,5060,1438.17,2655.92,2719.17
findlay twp allegheny,findlay twp,Second Class Township,allegheny,2015,15300411.0,13736667.0,7935028.0,1153611.0,3522.0,664920.0,73873.0,5060,1568.19,3023.8,2714.76
findlay twp allegheny,findlay twp,Second Class Township,allegheny,2016,13819774.0,12613896.0,7906708.0,1287578.0,0.0,1537095.0,0.0,5060,1562.59,2731.18,2492.86
findlay twp allegheny,findlay twp,Second Class Township,allegheny,2017,12846725.0,11143530.0,7927344.0,1278980.0,0.0,826749.0,0.0,5060,1566.67,2538.88,2202.28
forward twp allegheny,forward twp,Second Class Township,allegheny,2010,1621771.0,1704700.0,705750.0,376627.0,0.0,139414.0,0.0,3376,209.05,480.38,504.95
forward twp allegheny,forward twp,Second Class Township,allegheny,2011,1598285.0,1556123.0,801297.0,385976.0,0.0,139619.0,0.0,3376,237.35,473.43,460.94
forward twp allegheny,forward twp,Second Class Township,allegheny,2012,1526110.0,1411572.0,786785.0,374978.0,0.0,138242.0,0.0,3376,233.05,452.05,418.12
forward twp allegheny,forward twp,Second Class Township,allegheny,2013,1764228.0,1620101.0,800240.0,356212.0,0.0,130030.0,0.0,3376,237.04,522.58,479.89
forward twp allegheny,forward twp,Second Class Township,allegheny,2014,2032305.0,1774345.0,807103.0,348956.0,0.0,243303.0,0.0,3376,239.07,601.99,525.58
forward twp allegheny,forward twp,Second Class Township,allegheny,2015,2367585.0,2339807.0,731479.0,325690.0,0.0,305694.0,0.0,3376,216.67,701.3,693.07
forward twp allegheny,forward twp,Second Class Township,allegheny,2016,2836200.0,2622833.0,729941.0,315909.0,0.0,290824.0,0.0,3376,216.21,840.11,776.91
forward twp allegheny,forward twp,Second Class Township,allegheny,2017,2927313.0,1960449.0,806701.0,320808.0,0.0,314828.0,0.0,3376,238.95,867.1,580.7
crafton boro allegheny,crafton boro,Borough,allegheny,2010,5756607.0,5340167.0,2922781.0,1849982.0,24641.0,260603.0,85484.0,5951,491.14,967.33,897.36
crafton boro allegheny,crafton boro,Borough,allegheny,2011,5798269.0,6287465.0,2922403.0,1842133.0,0.0,394678.0,88437.0,5951,491.08,974.34,1056.54
crafton boro allegheny,crafton boro,Borough,allegheny,2012,6228946.0,6190409.0,3144450.0,1863359.0,0.0,267998.0,90835.0,5951,528.39,1046.71,1040.23
crafton boro allegheny,crafton boro,Borough,allegheny,2013,6369715.0,6296470.0,3193022.0,1843614.0,0.0,277298.0,93305.0,5951,536.55,1070.36,1058.05
crafton boro allegheny,crafton boro,Borough,allegheny,2014,8815030.0,9315938.0,3182123.0,1849355.0,0.0,300493.0,212861.0,5951,534.72,1481.27,1565.44
crafton boro allegheny,crafton boro,Borough,allegheny,2015,7323463.0,7088410.0,3178898.0,1850818.0,0.0,362582.0,179650.0,5951,534.18,1230.63,1191.13
crafton boro allegheny,crafton boro,Borough,allegheny,2016,7587594.0,7184113.0,3413396.0,2034371.0,0.0,323758.0,476326.0,5951,573.58,1275.01,1207.21
crafton boro allegheny,crafton boro,Borough,allegheny,2017,7406884.0,6666730.0,3415877.0,1990004.0,0.0,401454.0,304707.0,5951,574.0,1244.65,1120.27
harmar twp allegheny,harmar twp,Second Class Township,allegheny,2010,3602973.0,3251874.0,2139717.0,1553289.0,0.0,183346.0,0.0,2921,732.53,1233.47,1113.27
harmar twp allegheny,harmar twp,Second Class Township,allegheny,2011,3293495.0,3057669.0,2139208.0,1468332.0,0.0,242894.0,0.0,2921,732.35,1127.52,1046.79
harmar twp allegheny,harmar twp,Second Class Township,allegheny,2012,3476578.0,3066204.0,2268923.0,1502274.0,0.0,174701.0,0.0,2921,776.76,1190.2,1049.71
harmar twp allegheny,harmar twp,Second Class Township,allegheny,2013,4209796.0,3842755.0,2255251.0,1526799.0,0.0,190121.0,0.0,2921,772.08,1441.22,1315.56
harmar twp allegheny,harmar twp,Second Class Township,allegheny,2014,3623401.0,3230154.0,2310231.0,1499523.0,0.0,189150.0,0.0,2921,790.9,1240.47,1105.84
harmar twp allegheny,harmar twp,Second Class Township,allegheny,2015,3895253.0,3776702.0,2197904.0,1396110.0,848.0,185239.0,0.0,2921,752.45,1333.53,1292.95
harmar twp allegheny,harmar twp,Second Class Township,allegheny,2016,3481533.0,3008390.0,2406457.0,1348943.0,751.0,215071.0,0.0,2921,823.85,1191.9,1029.92
harmar twp allegheny,harmar twp,Second Class Township,allegheny,2017,3326595.0,3495505.0,2216945.0,1382786.0,1169.0,231404.0,45138.0,2921,758.97,1138.85,1196.68
haysville boro allegheny,haysville boro,Borough,allegheny,2010,27268.0,33316.0,22727.0,14362.0,0.0,2753.0,0.0,70,324.67,389.54,475.94
haysville boro allegheny,haysville boro,Borough,allegheny,2011,27969.0,37231.0,22553.0,14949.0,0.0,3021.0,600.0,70,322.19,399.56,531.87
haysville boro allegheny,haysville boro,Borough,allegheny,2012,29795.0,31474.0,26146.0,15328.0,0.0,414.0,1898.0,70,373.51,425.64,449.63
haysville boro allegheny,haysville boro,Borough,allegheny,2013,40366.0,28429.0,33493.0,23286.0,0.0,4932.0,600.0,70,478.47,576.66,406.13
haysville boro allegheny,haysville boro,Borough,allegheny,2014,37064.0,40967.0,31832.0,17656.0,300.0,2801.0,0.0,70,454.74,529.49,585.24
haysville boro allegheny,haysville boro,Borough,allegheny,2015,38139.0,44453.0,27720.0,15106.0,0.0,3208.0,300.0,70,396.0,544.84,635.04
haysville boro allegheny,haysville boro,Borough,allegheny,2016,44691.0,34008.0,37555.0,23995.0,0.0,3692.0,0.0,70,536.5,638.44,485.83
haysville boro allegheny,haysville boro,Borough,allegheny,2017,49561.0,52846.0,32490.0,17358.0,0.0,3643.0,300.0,70,464.14,708.01,754.94
ingram boro allegheny,ingram boro,Borough,allegheny,2010,2155310.0,2011791.0,1141158.0,713324.0,5780.0,123007.0,10268.0,3330,342.69,647.24,604.14
ingram boro allegheny,ingram boro,Borough,allegheny,2011,2167641.0,2074495.0,1106583.0,704018.0,0.0,138246.0,11019.0,3330,332.31,650.94,622.97
ingram boro allegheny,ingram boro,Borough,allegheny,2012,2253089.0,2095130.0,1291821.0,745444.0,0.0,120411.0,41375.0,3330,387.93,676.6,629.17
ingram boro allegheny,ingram boro,Borough,allegheny,2013,2291140.0,2153734.0,1247788.0,715472.0,0.0,125043.0,8000.0,3330,374.71,688.03,646.77
ingram boro allegheny,ingram boro,Borough,allegheny,2014,2281049.0,2193875.0,1265205.0,728866.0,0.0,128835.0,10575.0,3330,379.94,685.0,658.82
ingram boro allegheny,ingram boro,Borough,allegheny,2015,2382743.0,2197741.0,1266271.0,712304.0,0.0,137225.0,5000.0,3330,380.26,715.54,659.98
ingram boro allegheny,ingram boro,Borough,allegheny,2016,2271879.0,2548897.0,1267458.0,713747.0,0.0,154451.0,5000.0,3330,380.62,682.25,765.43
ingram boro allegheny,ingram boro,Borough,allegheny,2017,2312565.0,2525841.0,1251696.0,694959.0,0.0,144796.0,0.0,3330,375.88,694.46,758.51
turtle creek boro allegheny,turtle creek boro,Borough,allegheny,2010,4666865.0,4736620.0,1335213.0,809402.0,2078.0,235327.0,16217.0,5349,249.62,872.47,885.52
turtle creek boro allegheny,turtle creek boro,Borough,allegheny,2011,4837159.0,4867231.0,1372267.0,818100.0,0.0,322416.0,12717.0,5349,256.55,904.31,909.93
turtle creek boro allegheny,turtle creek boro,Borough,allegheny,2012,4767158.0,4599326.0,1498188.0,813548.0,1693.0,185417.0,15773.0,5349,280.09,891.22,859.85
turtle creek boro allegheny,turtle creek boro,Borough,allegheny,2013,4900379.0,4773478.0,1524846.0,841970.0,0.0,189547.0,17375.0,5349,285.07,916.13,892.41
turtle creek boro allegheny,turtle creek boro,Borough,allegheny,2014,5734433.0,5636252.0,1624943.0,918341.0,0.0,198089.0,18119.0,5349,303.78,1072.06,1053.7
turtle creek boro allegheny,turtle creek boro,Borough,allegheny,2015,5767724.0,5520182.0,1587351.0,900159.0,0.0,205209.0,17629.0,5349,296.76,1078.28,1032.0
turtle creek boro allegheny,turtle creek boro,Borough,allegheny,2016,5945070.0,5821324.0,1616111.0,904874.0,0.0,234107.0,19053.0,5349,302.13,1111.44,1088.3
turtle creek boro allegheny,turtle creek boro,Borough,allegheny,2017,5998248.0,6104383.0,1633302.0,924332.0,0.0,231314.0,19735.0,5349,305.35,1121.38,1141.22
verona boro allegheny,verona boro,Borough,allegheny,2010,1687222.0,1665494.0,1001540.0,682936.0,0.0,169677.0,0.0,2474,404.83,681.98,673.2
verona boro allegheny,verona boro,Borough,allegheny,2011,1500148.0,1487665.0,1019671.0,706999.0,0.0,125272.0,19000.0,2474,412.15,606.37,601.32
verona boro allegheny,verona boro,Borough,allegheny,2012,1791029.0,1777294.0,1037451.0,671702.0,17306.0,90926.0,4000.0,2474,419.34,723.94,718.39
verona boro allegheny,verona boro,Borough,allegheny,2013,1913773.0,1868242.0,1194716.0,811945.0,0.0,88220.0,0.0,2474,482.91,773.55,755.15
verona boro allegheny,verona boro,Borough,allegheny,2014,2032442.0,1844806.0,1180689.0,819883.0,506.0,100990.0,3580.0,2474,477.24,821.52,745.68
verona boro allegheny,verona boro,Borough,allegheny,2015,2086029.0,2046349.0,1179287.0,809040.0,0.0,121221.0,0.0,2474,476.67,843.18,827.14
verona boro allegheny,verona boro,Borough,allegheny,2016,2423199.0,2296831.0,1218140.0,783860.0,0.0,397115.0,17592.0,2474,492.38,979.47,928.39
versailles boro allegheny,versailles boro,Borough,allegheny,2010,1228110.0,1210501.0,563066.0,321352.0,18831.0,62119.0,10000.0,1515,371.66,810.63,799.01
versailles boro allegheny,versailles boro,Borough,allegheny,2011,1189044.0,1096116.0,592826.0,356572.0,48592.0,55322.0,0.0,1515,391.3,784.85,723.51
versailles boro allegheny,versailles boro,Borough,allegheny,2012,1311809.0,1076749.0,646028.0,345515.0,25984.0,46189.0,0.0,1515,426.42,865.88,710.73
versailles boro allegheny,versailles boro,Borough,allegheny,2013,1236607.0,1284678.0,629785.0,336667.0,78216.0,46705.0,0.0,1515,415.7,816.24,847.97
versailles boro allegheny,versailles boro,Borough,allegheny,2014,1296036.0,1323725.0,621350.0,344468.0,196007.0,42460.0,0.0,1515,410.13,855.47,873.75
versailles boro allegheny,versailles boro,Borough,allegheny,2015,1195411.0,1123084.0,644049.0,332201.0,971.0,46684.0,0.0,1515,425.11,789.05,741.31
versailles boro allegheny,versailles boro,Borough,allegheny,2016,1195581.0,991322.0,637632.0,331963.0,0.0,52989.0,0.0,1515,420.88,789.16,654.34
versailles boro allegheny,versailles boro,Borough,allegheny,2017,1299593.0,1060513.0,658172.0,340795.0,0.0,57451.0,0.0,1515,434.44,857.82,700.01
bridgeville boro allegheny,bridgeville boro,Borough,allegheny,2010,3748746.0,3580337.0,2002937.0,1277269.0,51339.0,215131.0,0.0,5148,389.07,728.19,695.48
bridgeville boro allegheny,bridgeville boro,Borough,allegheny,2011,4013357.0,3949648.0,2121825.0,1310417.0,26923.0,334752.0,22579.0,5148,412.16,779.6,767.22
bridgeville boro allegheny,bridgeville boro,Borough,allegheny,2012,4329029.0,4088041.0,2311162.0,1320268.0,168350.0,229620.0,7143.0,5148,448.94,840.91,794.1
bridgeville boro allegheny,bridgeville boro,Borough,allegheny,2013,4158101.0,4449184.0,2303789.0,1402360.0,0.0,240644.0,3455.0,5148,447.51,807.71,864.25
bridgeville boro allegheny,bridgeville boro,Borough,allegheny,2014,4327870.0,4260687.0,2238719.0,1394401.0,67603.0,268515.0,928.0,5148,434.87,840.69,827.64
bridgeville boro allegheny,bridgeville boro,Borough,allegheny,2015,4605457.0,4790487.0,2282862.0,1403195.0,0.0,253596.0,928.0,5148,443.45,894.61,930.55
bridgeville boro allegheny,bridgeville boro,Borough,allegheny,2016,5322118.0,5100941.0,2303107.0,1379729.0,0.0,275020.0,1258.0,5148,447.38,1033.82,990.86
bridgeville boro allegheny,bridgeville boro,Borough,allegheny,2017,5324695.0,5305472.0,2336199.0,1400358.0,0.0,295483.0,803.0,5148,453.81,1034.32,1030.59
cheswick boro allegheny,cheswick boro,Borough,allegheny,2010,1534409.0,1551743.0,779100.0,542148.0,5003.0,79275.0,2095.0,1746,446.22,878.81,888.74
cheswick boro allegheny,cheswick boro,Borough,allegheny,2011,3595864.0,3339210.0,773848.0,539995.0,0.0,106741.0,8222.0,1746,443.21,2059.49,1912.49
cheswick boro allegheny,cheswick boro,Borough,allegheny,2012,1816867.0,1852665.0,873966.0,587248.0,0.0,75787.0,0.0,1746,500.55,1040.59,1061.09
cheswick boro allegheny,cheswick boro,Borough,allegheny,2013,1809762.0,2001370.0,872534.0,587394.0,0.0,75690.0,0.0,1746,499.73,1036.52,1146.26
cheswick boro allegheny,cheswick boro,Borough,allegheny,2014,2251124.0,2290536.0,898537.0,610948.0,0.0,74451.0,0.0,1746,514.63,1289.3,1311.88
cheswick boro allegheny,cheswick boro,Borough,allegheny,2015,1926624.0,1906969.0,878460.0,574030.0,0.0,60447.0,0.0,1746,503.13,1103.45,1092.19
cheswick boro allegheny,cheswick boro,Borough,allegheny,2016,1925219.0,2105091.0,824754.0,545747.0,0.0,107662.0,0.0,1746,472.37,1102.65,1205.66
wall boro allegheny,wall boro,Borough,allegheny,2010,299596.0,363582.0,100927.0,59866.0,0.0,20108.0,1602.0,580,174.01,516.54,626.87
wall boro allegheny,wall boro,Borough,allegheny,2011,328283.0,301870.0,126070.0,74738.0,0.0,21291.0,3695.0,580,217.36,566.01,520.47
wall boro allegheny,wall boro,Borough,allegheny,2012,404691.0,295676.0,153444.0,77797.0,50000.0,17951.0,0.0,580,264.56,697.74,509.79
wall boro allegheny,wall boro,Borough,allegheny,2013,356197.0,422876.0,159965.0,84478.0,0.0,34227.0,0.0,580,275.8,614.13,729.1
wall boro allegheny,wall boro,Borough,allegheny,2014,369462.0,331677.0,169492.0,76936.0,0.0,19125.0,0.0,580,292.23,637.0,571.86
wall boro allegheny,wall boro,Borough,allegheny,2015,348383.0,346944.0,169206.0,85431.0,0.0,20669.0,0.0,580,291.73,600.66,598.18
wall boro allegheny,wall boro,Borough,allegheny,2016,410063.0,353078.0,170613.0,77813.0,0.0,23769.0,0.0,580,294.16,707.01,608.76
wall boro allegheny,wall boro,Borough,allegheny,2017,429823.0,408026.0,170164.0,79764.0,0.0,25072.0,0.0,580,293.39,741.07,703.49
duquesne city allegheny,duquesne city,City,allegheny,2010,6588601.0,6034216.0,2393350.0,1244674.0,78368.0,338647.0,55880.0,5565,430.07,1183.94,1084.32
duquesne city allegheny,duquesne city,City,allegheny,2011,6528501.0,6687306.0,2449946.0,1243767.0,1655626.0,465522.0,80118.0,5565,440.24,1173.14,1201.67
duquesne city allegheny,duquesne city,City,allegheny,2012,5400979.0,5258236.0,2551975.0,1136286.0,253974.0,316103.0,75948.0,5565,458.58,970.53,944.88
duquesne city allegheny,duquesne city,City,allegheny,2013,4983001.0,5119801.0,2636574.0,1297954.0,92807.0,319176.0,30700.0,5565,473.78,895.42,920.0
duquesne city allegheny,duquesne city,City,allegheny,2014,5137726.0,5265601.0,2645487.0,1239964.0,195461.0,325414.0,22050.0,5565,475.38,923.22,946.2
duquesne city allegheny,duquesne city,City,allegheny,2015,8238328.0,8509274.0,2551838.0,1208892.0,219194.0,423152.0,50945.0,5565,458.55,1480.38,1529.07
duquesne city allegheny,duquesne city,City,allegheny,2016,4885619.0,4965867.0,2435762.0,1162485.0,89505.0,398216.0,7000.0,5565,437.69,877.92,892.34
duquesne city allegheny,duquesne city,City,allegheny,2017,5661518.0,5545932.0,2561011.0,1278633.0,55799.0,390419.0,27750.0,5565,460.2,1017.34,996.57
east mckeesport boro allegheny,east mckeesport boro,Borough,allegheny,2010,1369928.0,1361804.0,582715.0,343760.0,12627.0,77380.0,0.0,2126,274.09,644.37,640.55
east mckeesport boro allegheny,east mckeesport boro,Borough,allegheny,2011,1589644.0,1447051.0,725473.0,458272.0,0.0,127382.0,0.0,2126,341.24,747.72,680.64
east mckeesport boro allegheny,east mckeesport boro,Borough,allegheny,2012,1522033.0,1497058.0,760875.0,440431.0,0.0,76466.0,0.0,2126,357.89,715.91,704.17
east mckeesport boro allegheny,east mckeesport boro,Borough,allegheny,2013,1733812.0,1563087.0,843342.0,521449.0,0.0,78750.0,95422.0,2126,396.68,815.53,735.22
east mckeesport boro allegheny,east mckeesport boro,Borough,allegheny,2014,1646517.0,1604954.0,807039.0,490785.0,3875.0,81915.0,0.0,2126,379.6,774.47,754.92
east mckeesport boro allegheny,east mckeesport boro,Borough,allegheny,2015,1941296.0,1866302.0,785398.0,468011.0,4442.0,86909.0,0.0,2126,369.43,913.12,877.85
east mckeesport boro allegheny,east mckeesport boro,Borough,allegheny,2016,1647891.0,1602090.0,816761.0,486897.0,0.0,93862.0,0.0,2126,384.18,775.11,753.57
east mckeesport boro allegheny,east mckeesport boro,Borough,allegheny,2017,1775409.0,1765457.0,782860.0,471287.0,0.0,219847.0,816.0,2126,368.23,835.09,830.41
emsworth boro allegheny,emsworth boro,Borough,allegheny,2010,2017497.0,2423123.0,765673.0,442382.0,46756.0,67361.0,0.0,2449,312.65,823.8,989.43
emsworth boro allegheny,emsworth boro,Borough,allegheny,2011,1554495.0,1535110.0,769441.0,448334.0,0.0,73889.0,0.0,2449,314.19,634.75,626.83
emsworth boro allegheny,emsworth boro,Borough,allegheny,2012,1818437.0,1726096.0,843949.0,444547.0,0.0,440469.0,0.0,2449,344.61,742.52,704.82
emsworth boro allegheny,emsworth boro,Borough,allegheny,2013,3478136.0,2985791.0,915172.0,485992.0,1474583.0,341736.0,0.0,2449,373.69,1420.23,1219.19
emsworth boro allegheny,emsworth boro,Borough,allegheny,2014,2080812.0,2311678.0,852235.0,424555.0,505863.0,68141.0,0.0,2449,347.99,849.66,943.93
emsworth boro allegheny,emsworth boro,Borough,allegheny,2015,2563633.0,2608255.0,900683.0,458486.0,952428.0,73322.0,0.0,2449,367.78,1046.81,1065.03
emsworth boro allegheny,emsworth boro,Borough,allegheny,2016,1808252.0,1705274.0,993653.0,532495.0,18764.0,84247.0,2500.0,2449,405.74,738.36,696.31
emsworth boro allegheny,emsworth boro,Borough,allegheny,2017,1818551.0,1471208.0,928911.0,465059.0,471.0,85085.0,2500.0,2449,379.3,742.57,600.74
leet twp allegheny,leet twp,First Class Township,allegheny,2010,1261656.0,1216820.0,915821.0,631659.0,0.0,87896.0,0.0,1634,560.48,772.13,744.69
leet twp allegheny,leet twp,First Class Township,allegheny,2011,1300166.0,1257439.0,927953.0,644199.0,0.0,101294.0,0.0,1634,567.9,795.7,769.55
leet twp allegheny,leet twp,First Class Township,allegheny,2012,1317480.0,1320998.0,965499.0,629565.0,0.0,89165.0,0.0,1634,590.88,806.29,808.44
leet twp allegheny,leet twp,First Class Township,allegheny,2013,1173027.0,1105409.0,985180.0,679896.0,0.0,93619.0,0.0,1634,602.93,717.89,676.5
leet twp allegheny,leet twp,First Class Township,allegheny,2014,1324060.0,1393095.0,954881.0,607829.0,0.0,92048.0,0.0,1634,584.38,810.32,852.57
leet twp allegheny,leet twp,First Class Township,allegheny,2015,1501009.0,1460188.0,1093648.0,696231.0,0.0,96937.0,0.0,1634,669.31,918.61,893.63
leet twp allegheny,leet twp,First Class Township,allegheny,2016,1649765.0,1820408.0,1089261.0,712490.0,0.0,89665.0,0.0,1634,666.62,1009.65,1114.08
leet twp allegheny,leet twp,First Class Township,allegheny,2017,1655319.0,1647351.0,1185487.0,773212.0,0.0,89696.0,0.0,1634,725.51,1013.05,1008.17
mount oliver boro allegheny,mount oliver boro,Borough,allegheny,2010,4209577.0,4055423.0,1456704.0,926296.0,12885.0,218594.0,0.0,3403,428.06,1237.02,1191.72
mount oliver boro allegheny,mount oliver boro,Borough,allegheny,2011,4277606.0,4112871.0,1464044.0,921988.0,0.0,215800.0,0.0,3403,430.22,1257.01,1208.6
mount oliver boro allegheny,mount oliver boro,Borough,allegheny,2012,4399616.0,4178475.0,1525875.0,861979.0,0.0,168112.0,95254.0,3403,448.39,1292.86,1227.88
mount oliver boro allegheny,mount oliver boro,Borough,allegheny,2013,4482208.0,4168943.0,1501843.0,830764.0,0.0,180667.0,10726.0,3403,441.33,1317.13,1225.08
mount oliver boro allegheny,mount oliver boro,Borough,allegheny,2014,4343892.0,4165961.0,1561412.0,852013.0,730.0,208481.0,460.0,3403,458.83,1276.49,1224.2
mount oliver boro allegheny,mount oliver boro,Borough,allegheny,2015,4365396.0,4601054.0,1506210.0,800562.0,744.0,327492.0,0.0,3403,442.61,1282.81,1352.06
mount oliver boro allegheny,mount oliver boro,Borough,allegheny,2016,4917222.0,5447409.0,1558562.0,857124.0,0.0,199688.0,0.0,3403,458.0,1444.97,1600.77
mount oliver boro allegheny,mount oliver boro,Borough,allegheny,2017,4697906.0,4723261.0,1573618.0,846813.0,0.0,530961.0,64122.0,3403,462.42,1380.52,1387.97
neville twp allegheny,neville twp,First Class Township,allegheny,2010,3914620.0,3570892.0,737840.0,506167.0,0.0,1234268.0,0.0,1084,680.66,3611.27,3294.18
neville twp allegheny,neville twp,First Class Township,allegheny,2011,3196697.0,2701216.0,789040.0,514751.0,0.0,66530.0,0.0,1084,727.9,2948.98,2491.9
neville twp allegheny,neville twp,First Class Township,allegheny,2012,3159758.0,3188199.0,887276.0,602773.0,0.0,50551.0,0.0,1084,818.52,2914.91,2941.14
neville twp allegheny,neville twp,First Class Township,allegheny,2013,4582985.0,3131288.0,1043656.0,707856.0,0.0,58001.0,0.0,1084,962.78,4227.85,2888.64
