Town,County,Town_County,Fed_Money,Total_Rev,State_Money,Fed_Decimal,Fed_Percent,State_Decimal,State_Percent,FS_Combo,FS_Combo_Decimal,FS_Combo_Percent,Population,F_Mon_PC,S_Mon_PC,All_Tax_Rev,Taxes_PC,Real_Estat,Real_Taxes_PC
avonmore boro,westmoreland,avonmore boro westmoreland,0.0,354840.86,41751.43,0.0,0.0,0.1176624078748992,11.77,41751.43,0.1176624078748992,11.77,1011,0.0,41.29716122650841,214168.14285714287,211.83792567472094,122909.0,121.57171117705242
ayr twp,fulton,ayr twp fulton,0.0,363601.5,118811.0,0.0,0.0,0.3267615782663163,32.68,118811.0,0.3267615782663163,32.68,1942,0.0,61.17971163748712,194403.0,100.10453141091658,0.0,0.0
baden boro,beaver,baden boro beaver,0.0,4267444.5,201214.0,0.0,0.0,0.047150935413454116,4.72,201214.0,0.047150935413454116,4.72,4135,0.0,48.66118500604596,1408369.5,340.59721886336155,952357.375,230.31617291414753
bald eagle twp,clinton,bald eagle twp clinton,3670.0,625550.88,147261.38,0.0058668289300464254,0.59,0.2354107151124142,23.54,150931.38,0.24127754404246066,24.13,2065,1.7772397094430992,71.31301694915254,378983.75,183.5272397094431,27389.5,13.2636803874092
baldwin boro,allegheny,baldwin boro allegheny,37677.88,16654866.75,941736.62,0.002262274479019773,0.23,0.0565442302322833,5.65,979414.5,0.058806504711303074,5.88,19767,1.906100065766176,47.64185865331108,8257033.375,417.71808443365205,5070952.875,256.5362915465169
baldwin twp,allegheny,baldwin twp allegheny,0.0,2586181.75,106272.0,0.0,0.0,0.04109223955354259,4.109999999999999,106272.0,0.04109223955354259,4.109999999999999,1992,0.0,53.34939759036146,1236204.5,620.5845883534137,827197.75,415.25991465863456
bally boro,berks,bally boro berks,0.0,1795363.62,60247.62,0.0,0.0,0.03355733586714873,3.36,60247.62,0.03355733586714873,3.36,1090,0.0,55.27304587155964,428264.875,392.90355504587154,254187.875,233.1998853211009
bangor boro,northampton,bangor boro northampton,134659.5,3681373.88,431021.75,0.03657859929184916,3.66,0.1170817645938206,11.71,565681.25,0.15366036388566978,15.37,5273,25.53754978190783,81.74127631329415,1864771.75,353.6453157595297,1273921.875,241.59337663569127
banks twp,carbon,banks twp carbon,0.0,319541.88,42939.75,0.0,0.0,0.13437909922793215,13.44,42939.75,0.13437909922793215,13.44,1262,0.0,34.02515847860539,159905.75,126.70820126782884,32200.125,25.515154516640255
banks twp,indiana,banks twp indiana,0.0,344741.25,218270.62,0.0,0.0,0.6331433212590603,63.31,218270.62,0.6331433212590603,63.31,1018,0.0,214.41121807465615,90827.75,89.22175834970531,16081.5,15.797151277013752
barkeyville boro,venango,barkeyville boro venango,0.0,141381.75,11564.25,0.0,0.0,0.08179450318021951,8.18,11564.25,0.08179450318021951,8.18,207,0.0,55.86594202898551,97186.5,469.5,52898.5,255.54830917874395
barnett twp,forest,barnett twp forest,29118.62,277179.88,96086.88,0.10505315176556104,10.51,0.3466589277692161,34.67,125205.5,0.4517120795347772,45.17,361,80.6609972299169,266.16864265927984,89678.375,248.4165512465374,57480.375,159.22541551246536
barnett twp,jefferson,barnett twp jefferson,0.0,129374.25,43717.25,0.0,0.0,0.3379130700274591,33.79,43717.25,0.3379130700274591,33.79,254,0.0,172.11515748031502,68431.25,269.41437007874015,40103.25,157.88681102362204
barr twp,cambria,barr twp cambria,0.0,557026.62,196727.5,0.0,0.0,0.3531743240565415,35.32,196727.5,0.3531743240565415,35.32,2056,0.0,95.68458171206223,283088.375,137.6888983463035,74874.375,36.41749756809339
barree twp,huntingdon,barree twp huntingdon,12522.5,137680.88,67437.88,0.09095307932372307,9.1,0.4898129645888376,48.98,79960.38,0.5807660439125607,58.08,469,26.700426439232412,143.79078891257998,46714.375,99.60421108742004,6371.5,13.585287846481876
barrett twp,monroe,barrett twp monroe,306.25,2708288.38,384268.25,0.00011307879997624184,0.01,0.14188601658439345,14.19,384574.5,0.14199909538436967,14.2,4225,0.07248520710059171,90.9510650887574,1904104.625,450.67565088757397,1343832.875,318.0669526627219
barry twp,schuylkill,barry twp schuylkill,18744.5,268304.5,110690.62,0.06986278649817651,6.99,0.41255595787621896,41.26000000000001,129435.12,0.4824187443743954,48.24,932,20.112124463519315,118.76675965665235,119160.375,127.8544796137339,20911.875,22.437634120171673
bart twp,lancaster,bart twp lancaster,3090.5,604353.62,169116.0,0.005113727952849857,0.51,0.2798295474758635,27.98,172206.5,0.2849432754287134,28.49,3094,0.998868778280543,54.65934065934066,368807.75,119.2009534583064,96181.0,31.086296056884294
bastress twp,lycoming,bastress twp lycoming,0.0,106659.88,28396.62,0.0,0.0,0.2662352517178905,26.62,28396.62,0.2662352517178905,26.62,546,0.0,52.00846153846154,66570.875,121.92467948717949,2546.5,4.663919413919414
bath boro,northampton,bath boro northampton,142715.0,2007903.62,142416.0,0.0710766187074258,7.109999999999999,0.07092770717749887,7.0900000000000025,285131.0,0.14200432588492468,14.2,2693,52.99480133679911,52.88377274415151,1038039.75,385.45850352766433,716658.0,266.11882658744895
beale twp,juniata,beale twp juniata,0.0,210779.38,42893.88,0.0,0.0,0.2035013102325285,20.35,42893.88,0.2035013102325285,20.35,830,0.0,51.679373493975895,89562.0,107.90602409638554,17248.625,20.781475903614457
beallsville boro,washington,beallsville boro washington,0.0,303084.25,49647.88,0.0,0.0,0.16380884193091524,16.38,49647.88,0.16380884193091524,16.38,466,0.0,106.54051502145924,86907.0,186.49570815450645,37735.25,80.9769313304721
bear creek twp,luzerne,bear creek twp luzerne,0.0,935025.0,170558.25,0.0,0.0,0.18241036335926847,18.24,170558.25,0.18241036335926847,18.24,2774,0.0,61.48458904109589,534095.75,192.53631939437636,115206.75,41.53091204037491
bear creek village boro,luzerne,bear creek village boro luzerne,0.0,129558.88,38300.88,0.0,0.0,0.29562527863779,29.56,38300.88,0.29562527863779,29.56,257,0.0,149.0306614785992,80553.5,313.4377431906615,20391.875,79.34581712062257
bear lake boro,warren,bear lake boro warren,0.0,24110.14,8146.71,0.0,0.0,0.3378955908178053,33.79,8146.71,0.3378955908178053,33.79,164,0.0,49.67506097560975,13872.0,84.58536585365853,4184.428571428572,25.51480836236934
beaver boro,beaver,beaver boro beaver,2742.5,4918752.12,358876.38,0.0005575601154709132,0.06,0.07296085902373141,7.3,361618.88,0.07351841913920233,7.35,4531,0.6052747737806223,79.20467446479806,2488176.0,549.1450011035091,1309707.0,289.0547340542926
beaver falls city,beaver,beaver falls city beaver,35355.75,13467062.88,639762.0,0.0026253497377298944,0.26,0.04750568150610729,4.75,675117.75,0.050131031243837186,5.01,8987,3.9340992544786912,71.18749304551018,3799894.25,422.82121397574275,1893727.5,210.71853788806052
beaver meadows boro,carbon,beaver meadows boro carbon,0.0,584904.25,69832.0,0.0,0.0,0.1193904814334996,11.94,69832.0,0.1193904814334996,11.94,869,0.0,80.3590333716916,155215.0,178.61334867663982,68605.5,78.94764096662831
beaver twp,clarion,beaver twp clarion,0.0,469319.0,181647.75,0.0,0.0,0.3870453785165314,38.7,181647.75,0.3870453785165314,38.7,1761,0.0,103.15034071550257,157054.375,89.18476717773991,14349.0,8.148211243611584
beaver twp,columbia,beaver twp columbia,0.0,230887.75,70990.12,0.0,0.0,0.30746594394895355,30.75,70990.12,0.30746594394895355,30.75,917,0.0,77.4156161395856,138716.375,151.2719465648855,25713.0,28.040348964013088
beaver twp,crawford,beaver twp crawford,3011.88,300730.38,139977.25,0.010015216952806695,1.0,0.4654576301868804,46.55,142989.13,0.4754728471396871,47.55,902,3.3391130820399115,155.18542128603104,92240.125,102.26177937915743,30979.5,34.34534368070953
beaver twp,jefferson,beaver twp jefferson,0.0,160698.62,93469.62,0.0,0.0,0.5816454428793477,58.16,93469.62,0.5816454428793477,58.16,498,0.0,187.69,53501.125,107.43197791164658,8792.375,17.655371485943775
beaver twp,snyder,beaver twp snyder,0.0,178266.0,74603.38,0.0,0.0,0.4184947213714337,41.85,74603.38,0.4184947213714337,41.85,525,0.0,142.10167619047618,84929.875,161.77119047619047,31097.125,59.232619047619046
beavertown boro,snyder,beavertown boro snyder,27269.62,225380.88,40230.38,0.12099349332560952,12.1,0.17849952489314974,17.849999999999994,67500.0,0.2994930182187593,29.95,965,28.25867357512953,41.68951295336787,134694.875,139.58018134715027,38463.875,39.8589378238342
beccaria twp,clearfield,beccaria twp clearfield,0.0,377092.0,120736.75,0.0,0.0,0.3201784975549733,32.02,120736.75,0.3201784975549733,32.02,1782,0.0,67.75350729517396,179077.375,100.49235409652076,39203.375,21.999649270482603
bechtelsville boro,berks,bechtelsville boro berks,0.0,314038.0,25620.62,0.0,0.0,0.08158445793184264,8.16,25620.62,0.08158445793184264,8.16,942,0.0,27.19811040339703,261116.5,277.1937367303609,143445.5,152.2776008492569
bedford boro,bedford,bedford boro bedford,2995.88,1471100.75,301201.75,0.002036488663335941,0.2,0.20474583402938248,20.47,304197.63,0.2067823226927184,20.68,2841,1.0545160154875044,106.0196233720521,907019.5,319.2606476592749,530024.375,186.56260999648012
bedford twp,bedford,bedford twp bedford,8064.62,1703084.88,325775.0,0.004735301272829103,0.47,0.19128523999344066,19.13,333839.62,0.19602054126626967,19.6,5395,1.4948322520852642,60.384615384615394,935747.625,173.44719647822058,191091.375,35.42008804448564
bedminster twp,bucks,bedminster twp bucks,3098.0,4356712.88,410766.75,0.0007110865657963671,0.06999999999999999,0.09428364028432372,9.43,413864.75,0.09499472685012007,9.5,6574,0.4712503802859751,62.48353361728021,2762872.875,420.2727220870094,780229.125,118.68407742622452
beech creek boro,clinton,beech creek boro clinton,0.0,179808.88,30231.25,0.0,0.0,0.16812990548631412,16.81,30231.25,0.16812990548631412,16.81,701,0.0,43.125891583452216,94280.875,134.49482881597717,26939.875,38.430634807417974
beech creek twp,clinton,beech creek twp clinton,0.0,406248.25,239407.25,0.0,0.0,0.5893126924239058,58.93000000000001,239407.25,0.5893126924239058,58.93000000000001,1015,0.0,235.8692118226601,121988.875,120.18608374384236,12197.0,12.016748768472906
belfast twp,fulton,belfast twp fulton,94250.0,681368.88,284875.88,0.13832448584972062,13.83,0.4180934708964108,41.81,379125.88,0.5564179567461314,55.64,1448,65.08977900552486,196.73748618784526,137149.375,94.71641919889503,6736.5,4.6522790055248615
bell acres boro,allegheny,bell acres boro allegheny,0.0,2094764.25,113808.38,0.0,0.0,0.05432992280634921,5.43,113808.38,0.05432992280634921,5.43,1388,0.0,81.99451008645535,1341372.0,966.4063400576368,767701.0,553.0987031700288
bell twp,clearfield,bell twp clearfield,0.0,377017.62,144946.62,0.0,0.0,0.3844558246375859,38.45,144946.62,0.3844558246375859,38.45,760,0.0,190.71923684210532,119451.75,157.1733552631579,44445.375,58.48075657894737
bell twp,jefferson,bell twp jefferson,0.0,723881.5,158773.5,0.0,0.0,0.21933631402377324,21.93,158773.5,0.21933631402377324,21.93,2056,0.0,77.22446498054475,296939.5,144.42582684824902,85237.25,41.45780642023346
bell twp,westmoreland,bell twp westmoreland,7316.0,576851.62,172070.0,0.012682637521239864,1.27,0.2982916126680896,29.83,179386.0,0.31097425018932945,31.1,2348,3.1158432708688246,73.28364565587734,344264.75,146.6204216354344,87213.375,37.14368611584327
belle vernon boro,fayette,belle vernon boro fayette,7460.75,370153.75,39532.25,0.020155813631497724,2.02,0.10679953938059522,10.68,46993.0,0.12695535301209296,12.7,1093,6.825937785910338,36.16857273559012,212235.125,194.17669258920404,130028.625,118.96489021043001
bellefonte boro,centre,bellefonte boro centre,109375.0,10923242.88,1047489.5,0.010013052094654149,1.0,0.0958954690935152,9.59,1156864.5,0.10590852118816936,10.59,6187,17.67819621787619,169.3049135283659,2102078.25,339.75727331501537,1238768.125,200.2211289801196
bellevue boro,allegheny,bellevue boro allegheny,55711.5,9448180.25,431151.5,0.0058965322978464536,0.59,0.04563328477989188,4.5600000000000005,486863.0,0.05152981707773833,5.15,8370,6.6560931899641576,51.51152927120668,4056376.75,484.632825567503,1694986.75,202.50737753882916
bellwood boro,blair,bellwood boro blair,350.0,797240.12,86570.25,0.0004390145342911242,0.04,0.10858742282061773,10.86,86920.25,0.10902643735490884,10.9,1828,0.19146608315098468,47.35790481400439,386918.25,211.6620623632385,193070.125,105.61823030634574
ben avon boro,allegheny,ben avon boro allegheny,998.62,1452749.38,69312.75,0.000687400052444008,0.06999999999999999,0.0477114297581046,4.77,70311.37,0.048398829810548605,4.84,1781,0.5607074677147671,38.91788321167883,954808.75,536.10822571589,557072.25,312.7862156092083
ben avon heights boro,allegheny,ben avon heights boro allegheny,386.0,660994.25,15004.25,0.0005839687712865882,0.06,0.022699516675069413,2.27,15390.25,0.023283485446356004,2.33,371,1.0404312668463611,40.442722371967655,401521.5,1082.2681940700809,259409.625,699.2173180592991
bendersville boro,adams,bendersville boro adams,799.5,187927.62,18612.75,0.004254297478997499,0.43,0.09904212057812473,9.9,19412.25,0.1032964180571222,10.33,641,1.247269890795632,29.037051482059283,115509.75,180.20241809672387,40115.75,62.58307332293292
benezette twp,elk,benezette twp elk,148626.25,961323.25,283925.12,0.15460590389340942,15.46,0.2953482296407582,29.53,432551.37,0.4499541335341676,45.0,207,718.0012077294685,1371.6189371980674,61709.0,298.1111111111111,38436.375,185.68297101449275
benner twp,centre,benner twp centre,0.0,1868452.25,384324.0,0.0,0.0,0.20569110074929664,20.57,384324.0,0.20569110074929664,20.57,6188,0.0,62.10795087265676,1028177.75,166.15671460892048,215746.5,34.86530381383322
bensalem twp,bucks,bensalem twp bucks,1643281.62,56722156.62,15892754.0,0.028970718285781568,2.9000000000000004,0.2801859969195226,28.02,17536035.62,0.30915671520530424,30.92,60427,27.19449285915237,263.00749664884904,21204330.0,350.9082032866103,12252870.125,202.77144529763186
benson boro,somerset,benson boro somerset,0.0,50107.5,2982.25,0.0,0.0,0.05951703836750985,5.9499999999999975,2982.25,0.05951703836750985,5.9499999999999975,191,0.0,15.61387434554974,40476.25,211.9175392670157,25489.75,133.4541884816754
